CL_EXT_2021_10_26_Instance_2	PMC1474522.nxml.gz_1	129 138	Müllerian	CL_EXT_biobert_model_local_PMC1474522.nxml.gz
CL_EXT_2021_10_26_Instance_412	PMC4488777.nxml.gz_42	6806 6811	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_413	PMC4488777.nxml.gz_55	8396 8403;8404 8413;8414 8419	ovarian granulose cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_414	PMC4488777.nxml.gz_61	9632 9640	cellular	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_415	PMC4488777.nxml.gz_82	12341 12352;12353 12358	endometrium cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_416	PMC4488777.nxml.gz_96	13846 13851;13852 13861;13862 13867	ovary granulosa cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_417	PMC4488777.nxml.gz_109	15423 15428	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_418	PMC4488777.nxml.gz_111	15789 15802	spermatogenic	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_419	PMC4488777.nxml.gz_111	15803 15808	cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_420	PMC4488777.nxml.gz_113	16122 16135	intracellular	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_421	PMC4488777.nxml.gz_113	16162 16167	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_422	PMC4488777.nxml.gz_113	16221 16232	spermatozoa	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_423	PMC4488777.nxml.gz_114	16282 16287	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_424	PMC4488777.nxml.gz_115	16497 16502	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_425	PMC4488777.nxml.gz_121	17312 17317	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_426	PMC4488777.nxml.gz_124	17685 17690	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_427	PMC4488777.nxml.gz_127	18138 18143	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_428	PMC4488777.nxml.gz_142	20110 20115	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_429	PMC4488777.nxml.gz_143	20298 20301	egg	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_430	PMC4488777.nxml.gz_144	20408 20414	oocyte	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_431	PMC4488777.nxml.gz_150	21152 21158	oocyte	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_432	PMC4488777.nxml.gz_153	21303 21314	lymphocytes	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_433	PMC4488777.nxml.gz_153	21344 21349	cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_434	PMC4488777.nxml.gz_154	21557 21563	islets	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_435	PMC4488777.nxml.gz_156	21905 21912;21913 21917	decidua cell	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_436	PMC4488777.nxml.gz_158	22215 22222;22223 22228	stromal cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_437	PMC4488777.nxml.gz_159	22358 22360;22361 22366	NK cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_438	PMC4488777.nxml.gz_160	22481 22486	cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_439	PMC4488777.nxml.gz_160	22520 22532	granulocytes	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_440	PMC4488777.nxml.gz_160	22537 22548	macrophages	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_441	PMC4488777.nxml.gz_167	23993 23999	oocyte	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_442	PMC4488777.nxml.gz_173	24854 24859	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_450	PMC4859539.nxml.gz_12	2359 2368	monocytes	CL_EXT_biobert_model_local_PMC4859539.nxml.gz
CL_EXT_2021_10_26_Instance_451	PMC4859539.nxml.gz_12	2370 2381	macrophages	CL_EXT_biobert_model_local_PMC4859539.nxml.gz
CL_EXT_2021_10_26_Instance_452	PMC4859539.nxml.gz_12	2383 2390;2391 2401;2402 2407	mucosal epithelial cells	CL_EXT_biobert_model_local_PMC4859539.nxml.gz
CL_EXT_2021_10_26_Instance_453	PMC4859539.nxml.gz_12	2413 2426	keratinocytes	CL_EXT_biobert_model_local_PMC4859539.nxml.gz
CL_EXT_2021_10_26_Instance_454	PMC4859539.nxml.gz_12	2470 2475	cells	CL_EXT_biobert_model_local_PMC4859539.nxml.gz
CL_EXT_2021_10_26_Instance_455	PMC4859539.nxml.gz_104	21815 21823	cellular	CL_EXT_biobert_model_local_PMC4859539.nxml.gz
CL_EXT_2021_10_26_Instance_456	PMC4859539.nxml.gz_104	21883 21889;21890 21895	immune cells	CL_EXT_biobert_model_local_PMC4859539.nxml.gz
CL_EXT_2021_10_26_Instance_457	PMC4859539.nxml.gz_124	25067 25071	cell	CL_EXT_biobert_model_local_PMC4859539.nxml.gz
CL_EXT_2021_10_26_Instance_459	PMC4897523.nxml.gz_70	11041 11051	microglial	CL_EXT_biobert_model_local_PMC4897523.nxml.gz
CL_EXT_2021_10_26_Instance_460	PMC4897523.nxml.gz_164	24315 24320	sperm	CL_EXT_biobert_model_local_PMC4897523.nxml.gz
CL_EXT_2021_10_26_Instance_461	PMC4897523.nxml.gz_164	24371 24378	gametes	CL_EXT_biobert_model_local_PMC4897523.nxml.gz
CL_EXT_2021_10_26_Instance_462	PMC4897523.nxml.gz_238	35297 35307	microglial	CL_EXT_biobert_model_local_PMC4897523.nxml.gz
CL_EXT_2021_10_26_Instance_464	PMC4954778.nxml.gz_91	17343 17353;17371 17378	orexigenic ... neurons	CL_EXT_biobert_model_local_PMC4954778.nxml.gz
CL_EXT_2021_10_26_Instance_465	PMC4954778.nxml.gz_91	17448 17455	neurons	CL_EXT_biobert_model_local_PMC4954778.nxml.gz
CL_EXT_2021_10_26_Instance_468	PMC4992225.nxml.gz_255	35015 35021;35022 35027	immune cells	CL_EXT_biobert_model_local_PMC4992225.nxml.gz
CL_EXT_2021_10_26_Instance_469	PMC4992225.nxml.gz_256	35100 35105	cells	CL_EXT_biobert_model_local_PMC4992225.nxml.gz
CL_EXT_2021_10_26_Instance_470	PMC4992225.nxml.gz_256	35114 35123	microglia	CL_EXT_biobert_model_local_PMC4992225.nxml.gz
CL_EXT_2021_10_26_Instance_471	PMC4992225.nxml.gz_256	35128 35138	astrocytes	CL_EXT_biobert_model_local_PMC4992225.nxml.gz
CL_EXT_2021_10_26_Instance_472	PMC4992225.nxml.gz_257	35172 35181;35182 35193	activated lymphocytes	CL_EXT_biobert_model_local_PMC4992225.nxml.gz
CL_EXT_2021_10_26_Instance_474	PMC5030620.nxml.gz_10	2359 2363	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_475	PMC5030620.nxml.gz_43	9929 9937	cellular	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_476	PMC5030620.nxml.gz_52	11427 11431;11432 11436	germ cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_477	PMC5030620.nxml.gz_55	12520 12524	male	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_478	PMC5030620.nxml.gz_55	12526 12537	spermatozoa	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_480	PMC5030620.nxml.gz_55	12543 12549	female ...	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_481	PMC5030620.nxml.gz_55	12551 12557	oocyte ...	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_482	PMC5030620.nxml.gz_55	12559 12566	gametes	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_483	PMC5030620.nxml.gz_55	12603 12607	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_484	PMC5030620.nxml.gz_55	12609 12615	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_485	PMC5030620.nxml.gz_56	12709 12713	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_486	PMC5030620.nxml.gz_56	12771 12777	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_487	PMC5030620.nxml.gz_57	12895 12902	gametes	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_488	PMC5030620.nxml.gz_57	12953 12957	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_489	PMC5030620.nxml.gz_60	13458 13463	cells	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_490	PMC5030620.nxml.gz_60	13483 13487;13488 13493	germ cells	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_491	PMC5030620.nxml.gz_60	13506 13516;13517 13521;13522 13526	primordial germ cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_492	PMC5030620.nxml.gz_60	13528 13531	PGC	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_493	PMC5030620.nxml.gz_63	13705 13711	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_494	PMC5030620.nxml.gz_63	13752 13756	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_495	PMC5030620.nxml.gz_64	13884 13890	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_496	PMC5030620.nxml.gz_65	13949 13959;13960 13964;13965 13970	Primordial germ cells	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_497	PMC5030620.nxml.gz_65	13972 13976	PGCs	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_498	PMC5030620.nxml.gz_65	14090 14094;14095 14100	germ cells	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_499	PMC5030620.nxml.gz_67	14453 14460	gametes	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_500	PMC5030620.nxml.gz_67	14483 14489	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_501	PMC5030620.nxml.gz_67	14549 14553	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_502	PMC5030620.nxml.gz_68	14728 14734	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_503	PMC5030620.nxml.gz_69	14892 14898	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_504	PMC5030620.nxml.gz_71	15162 15168	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_505	PMC5030620.nxml.gz_74	15845 15849	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_506	PMC5030620.nxml.gz_83	17641 17645	PGCs	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_507	PMC5030620.nxml.gz_84	17701 17705;17706 17711	germ cells	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_508	PMC5030620.nxml.gz_84	17801 17805	PGCs	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_509	PMC5030620.nxml.gz_86	18048 18052	PGCs	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_510	PMC5030620.nxml.gz_92	18740 18744	PGCs	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_511	PMC5030620.nxml.gz_92	18764 18776	spermatozoal ...	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_512	PMC5030620.nxml.gz_92	18780 18786	oocyte	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_513	PMC5030620.nxml.gz_93	18811 18817	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_514	PMC5030620.nxml.gz_93	18826 18833	gametes	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_515	PMC5030620.nxml.gz_95	18976 18980	PGCs	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_516	PMC5030620.nxml.gz_95	19253 19260	gametes	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_517	PMC5030620.nxml.gz_95	19271 19277	zygote	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_518	PMC5030620.nxml.gz_96	19328 19335	gametes	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_519	PMC5030620.nxml.gz_109	21299 21307	cellular	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_520	PMC5030620.nxml.gz_119	23361 23365	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_521	PMC5030620.nxml.gz_121	23706 23710	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_522	PMC5030620.nxml.gz_124	24309 24313	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_523	PMC5030620.nxml.gz_131	25508 25515	oocytes	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_524	PMC5030620.nxml.gz_131	25517 25523	oocyte	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_525	PMC5030620.nxml.gz_132	25654 25661	oocytes	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_526	PMC5030620.nxml.gz_132	25666 25677	spermatozoa	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_527	PMC5030620.nxml.gz_134	25925 25930	sperm	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_528	PMC5030620.nxml.gz_134	25934 25937	egg	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_529	PMC5030620.nxml.gz_135	26102 26114	spermatozoal	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_530	PMC5030620.nxml.gz_136	26516 26521	sperm	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_531	PMC5030620.nxml.gz_139	27086 27093	Somatic	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_532	PMC5030620.nxml.gz_139	27101 27105;27106 27110	germ cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_533	PMC5030620.nxml.gz_139	27154 27161;27162 27166	somatic cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_534	PMC5030620.nxml.gz_139	27175 27179;27180 27184	germ cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_535	PMC5030620.nxml.gz_141	27547 27551	PGCs	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_536	PMC5030620.nxml.gz_144	28105 28117	spermatozoal	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_537	PMC5030620.nxml.gz_144	28214 28225	spermatozoa	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_538	PMC5030620.nxml.gz_144	28242 28253	spermatozoa	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_539	PMC5030620.nxml.gz_146	28460 28472	spermatozoal	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_540	PMC5030620.nxml.gz_151	29728 29731	PGC	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_541	PMC5030620.nxml.gz_161	31416 31421	sperm	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_542	PMC5030620.nxml.gz_191	37886 37890	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_543	PMC5030620.nxml.gz_191	37920 37925	blood	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_544	PMC5030620.nxml.gz_191	37926 37936	lymphocyte	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_545	PMC5030620.nxml.gz_194	38277 38282;38283 38288	blood cells	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_546	PMC5030620.nxml.gz_201	39740 39745	sperm	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_547	PMC5030620.nxml.gz_202	40027 40032	sperm	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_548	PMC5030620.nxml.gz_228	45769 45775;45776 45780;45781 45793	Leydig stem cellsHistone	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_549	PMC5030620.nxml.gz_237	47120 47127	cardiac ...	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_550	PMC5030620.nxml.gz_237	47132 47143;47145 47149;47150 47154	mesenchymal stem cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_551	PMC5030620.nxml.gz_275	52595 52599	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_552	PMC5030620.nxml.gz_284	54469 54474	cells	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_553	PMC5030620.nxml.gz_326	60809 60813;60814 60819	germ cells	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_554	PMC5030620.nxml.gz_342	62776 62784	cellular	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_555	PMC5030620.nxml.gz_345	63429 63437	cellular	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_556	PMC5030620.nxml.gz_378	70514 70518	cell	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_557	PMC5030620.nxml.gz_378	71024 71038	spermatogonial	CL_EXT_biobert_model_local_PMC5030620.nxml.gz
CL_EXT_2021_10_26_Instance_559	PMC5143410.nxml.gz_12	1980 1991	capillaries	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_560	PMC5143410.nxml.gz_12	1996 2007;2008 2013	endothelial cells	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_561	PMC5143410.nxml.gz_14	2175 2185	osteocytes	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_562	PMC5143410.nxml.gz_14	2221 2232	osteoblasts	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_563	PMC5143410.nxml.gz_18	2810 2823	osteocytelike	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_564	PMC5143410.nxml.gz_18	2828 2842	osteoblastlike	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_565	PMC5143410.nxml.gz_18	2843 2848	cells	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_566	PMC5143410.nxml.gz_26	3532 3543	fibroblasts	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_567	PMC5143410.nxml.gz_29	3696 3707;3708 3713	mesenchymal cells	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_568	PMC5143410.nxml.gz_29	3740 3751	osteoblasts	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_569	PMC5143410.nxml.gz_30	3817 3828;3829 3834	mesenchymal cells	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_570	PMC5143410.nxml.gz_31	4094 4099	cells	CL_EXT_biobert_model_local_PMC5143410.nxml.gz
CL_EXT_2021_10_26_Instance_572	PMC5187359.nxml.gz_24	6208 6211	ECS	CL_EXT_biobert_model_local_PMC5187359.nxml.gz
CL_EXT_2021_10_26_Instance_573	PMC5187359.nxml.gz_25	6417 6420	ECS	CL_EXT_biobert_model_local_PMC5187359.nxml.gz
CL_EXT_2021_10_26_Instance_574	PMC5187359.nxml.gz_31	7658 7661	ECS	CL_EXT_biobert_model_local_PMC5187359.nxml.gz
CL_EXT_2021_10_26_Instance_575	PMC5187359.nxml.gz_49	11082 11093	spermatozoa	CL_EXT_biobert_model_local_PMC5187359.nxml.gz
CL_EXT_2021_10_26_Instance_576	PMC5187359.nxml.gz_236	42922 42932	adipocytes	CL_EXT_biobert_model_local_PMC5187359.nxml.gz
CL_EXT_2021_10_26_Instance_577	PMC5187359.nxml.gz_281	52051 52062	hepatocytes	CL_EXT_biobert_model_local_PMC5187359.nxml.gz
CL_EXT_2021_10_26_Instance_578	PMC5187359.nxml.gz_313	59094 59099	cells	CL_EXT_biobert_model_local_PMC5187359.nxml.gz
CL_EXT_2021_10_26_Instance_582	PMC5273824.nxml.gz_12	2022 2033	osteoblasts	CL_EXT_biobert_model_local_PMC5273824.nxml.gz
CL_EXT_2021_10_26_Instance_584	PMC5340372.nxml.gz_13	1903 1908	cells	CL_EXT_biobert_model_local_PMC5340372.nxml.gz
CL_EXT_2021_10_26_Instance_585	PMC5340372.nxml.gz_123	21515 21521;21522 21527	immune cells	CL_EXT_biobert_model_local_PMC5340372.nxml.gz
CL_EXT_2021_10_26_Instance_586	PMC5340372.nxml.gz_124	21668 21672;21673 21683;21684 21689	lung epithelial cells	CL_EXT_biobert_model_local_PMC5340372.nxml.gz
CL_EXT_2021_10_26_Instance_592	PMC5539754.nxml.gz_16	2755 2765;2766 2770;2771 2776	pancreatic beta cells	CL_EXT_biobert_model_local_PMC5539754.nxml.gz
CL_EXT_2021_10_26_Instance_593	PMC5539754.nxml.gz_116	24608 24618;24619 24623;24624 24629	pancreatic beta cells	CL_EXT_biobert_model_local_PMC5539754.nxml.gz
CL_EXT_2021_10_26_Instance_595	PMC5540678.nxml.gz_25	5401 5409	cellular	CL_EXT_biobert_model_local_PMC5540678.nxml.gz
CL_EXT_2021_10_26_Instance_596	PMC5540678.nxml.gz_94	29133 29134;29135 29141	T ... helper	CL_EXT_biobert_model_local_PMC5540678.nxml.gz
CL_EXT_2021_10_26_Instance_597	PMC5540678.nxml.gz_94	29142 29146	cell	CL_EXT_biobert_model_local_PMC5540678.nxml.gz
CL_EXT_2021_10_26_Instance_598	PMC5540678.nxml.gz_94	29218 29230;29231 29240;29241 29246	inflammatory dendritic cells	CL_EXT_biobert_model_local_PMC5540678.nxml.gz
CL_EXT_2021_10_26_Instance_601	PMC5658906.nxml.gz_0	226 230	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_602	PMC5658906.nxml.gz_2	563 567	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_603	PMC5658906.nxml.gz_4	914 917	EDC	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_604	PMC5658906.nxml.gz_11	2148 2152	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_605	PMC5658906.nxml.gz_12	2190 2194	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_606	PMC5658906.nxml.gz_15	2694 2698	PCBs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_607	PMC5658906.nxml.gz_17	2944 2948	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_608	PMC5658906.nxml.gz_20	3337 3341	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_609	PMC5658906.nxml.gz_21	3524 3527	EDC	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_610	PMC5658906.nxml.gz_26	4255 4259	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_611	PMC5658906.nxml.gz_34	5185 5189	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_612	PMC5658906.nxml.gz_42	6530 6533	EDC	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_613	PMC5658906.nxml.gz_52	9091 9094	EDC	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_614	PMC5658906.nxml.gz_55	9448 9452	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_615	PMC5658906.nxml.gz_65	10839 10843	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_616	PMC5658906.nxml.gz_69	15061 15064	EDC	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
CL_EXT_2021_10_26_Instance_617	PMC5658906.nxml.gz_109	23263 23267	EDCs	CL_EXT_biobert_model_local_PMC5658906.nxml.gz
