	ARTICLE	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
386	PMC5904225	62	['Briefly, 6- to 28-mg samples were placed in 250Â\xa0Î¼l of lysis buffer (150Â\xa0mM NaCl, 20Â\xa0mM Tris pH 7.5, 1Â\xa0mM EDTA, 1Â\xa0mM EGTA, 1% Triton, with Protease Inhibitor (Roche), 1Â\xa0mM sodium orthovanadate and 25Â\xa0mM sodium fluoride).']	(10255, 10482)
387	PMC5904225	63	['Samples were sonicated on ice and left for 30Â\xa0min at 4Â\xa0Â°C, followed by centrifugation at 20,000g for 10Â\xa0min and collection of supernatant.']	(10483, 10625)
388	PMC5904225	64	['Protein concentrations were quantified by Bradford assay.']	(10626, 10683)
389	PMC5904225	65	['Cytokine levels were normalised against total protein added to the ELISA.']	(10684, 10757)
390	PMC5904225	68	['Immunohistochemistry using antibodies against Î²-catenin (Î²-cat) on case JA029 showing clusters of cells with nuclear-cytoplasmic accumulation.']	(11272, 11416)
391	PMC5904225	69	['Scale bars 400Â\xa0Î¼m (top left panel), 100Â\xa0Î¼m (other three panels).']	(11417, 11485)
392	PMC5904225	71	['# case JA011; * case JA005; controls: fetal pituitaries and NFPA tissues.']	(11614, 11687)
393	PMC5904225	72	['See Suppl.']	(11688, 11698)
394	PMC5904225	73	['Table 1 (Online Resource 2) for sample details.']	(11699, 11746)
395	PMC5904225	74	['c Principal component analysis plot showing the separation between adamantinomatous craniopharyngioma (ACP), non-functioning pituitary adenoma (NFPA) and control fetal pituitary tissues (fetal).']	(11747, 11941)
396	PMC5904225	75	['d Bar plot of selected statistically significant and differentially expressed genes, as assessed by DESeq2, in ACP tumours compared with control fetal tissue.']	(11942, 12100)
397	PMC5904225	76	['Higher than 0 means higher expression in ACP and lower than 0 means higher in control tissue.']	(12101, 12194)
398	PMC5904225	77	['The most up-regulated genes in ACP tumours are keratins.']	(12195, 12251)
399	PMC5904225	78	['Other up-regulated genes include WNTs and WNT pathway targets (e.g.']	(12252, 12319)
400	PMC5904225	81	['Pituitary transcription factors (LHX3, POU1F1) and pituitary hormones (e.g.']	(12465, 12540)
401	PMC5904225	82	['FSHB, GH1, TSHB) are up-regulated in controls.']	(12541, 12587)
402	PMC5904225	83	['See Suppl.']	(12588, 12598)
403	PMC5904225	84	['TableÂ\xa03 (Online Resource 5) for details.']	(12599, 12640)
404	PMC5904225	85	['Error barsâ\x80\x89=â\x80\x891 standard error, *** adjusted p value <â\x80\x891â\x80\x89Ã\x97â\x80\x8910â\x88\x929.']	(12641, 12717)
405	PMC5904225	86	['e Multidimensional scaling plot of expression patterns of the 5000 most differentially expressed genes included in the weighted gene co-expression network analysis (WGCNA) analysis.']	(12718, 12899)
406	PMC5904225	87	['The colour of each gene indicates it membership to a co-expressed gene expression module.']	(12900, 12989)
407	PMC5904225	88	['f Heatmap of correlations between each moduleâ\x80\x99s gene expression profile and phenotypic information.']	(12990, 13091)
408	PMC5904225	89	['Scale bar indicate r value â\x88\x92â\x80\x891 to +â\x80\x891.']	(13092, 13136)
409	PMC5904225	93	['As NFPA are tumours containing cells similar to the normal adult pituitary and are known to cluster with normal pituitary tissue on expression analysis, these were also used as controls.']	(13733, 13919)
410	PMC5904225	95	['TableÂ\xa01 (Online Resource 2)].']	(14098, 14128)
411	PMC5904225	97	['TableÂ\xa01 (Online Resource 2)].']	(14282, 14312)
412	PMC5904225	100	['TableÂ\xa01 (Online Resource 2)].']	(14576, 14606)
413	PMC5904225	102	['TableÂ\xa01 (Online Resource 2); Fig.Â\xa01b].']	(14860, 14900)
414	PMC5904225	104	['Fig.Â\xa01a (Online Resource 3)].']	(15047, 15077)
415	PMC5904225	106	['TableÂ\xa02a (Online Resource 4)].']	(15308, 15339)
416	PMC5904225	108	['TableÂ\xa02a, b (Online Resource 4) and Suppl.']	(15581, 15624)
417	PMC5904225	109	['TableÂ\xa03 (Online Resource 5)].']	(15625, 15655)
418	PMC5904225	111	['Weighted gene co-expression network analysis (WGCNA) was used to describe the correlation patterns among genes across samples, resulting in the identification of 12 distinct patterns of gene expression (modules), which were assigned a colour identifier (Fig.Â\xa01e).']	(16120, 16384)
419	PMC5904225	113	['TableÂ\xa04a, e (Online Resource 6); Suppl.']	(16669, 16709)
420	PMC5904225	115	['TableÂ\xa04a, j, l (Online Resource 6); Suppl.']	(16923, 16966)
421	PMC5904225	117	['TableÂ\xa04a, k (online Resource 6); Suppl.']	(17146, 17186)
422	PMC5904225	118	['Fig.Â\xa02d (Online Resource 3)].']	(17187, 17217)
423	PMC5904225	119	['Further details of other identified modules are presented in Suppl.']	(17218, 17285)
424	PMC5904225	120	['Results (Online Resource 1), Suppl.']	(17286, 17321)
425	PMC5904225	121	['Figs.Â\xa02â\x80\x934 (Online Resource 3) and Suppl.']	(17322, 17365)
426	PMC5904225	122	['TableÂ\xa04 (Online Resource 6).']	(17366, 17395)
427	PMC5904225	123	['WGCNA of the human ACP microarray data published by Gump et al.']	(17396, 17459)
428	PMC5904225	127	['Caption (Fig): FIG 2\n\nGene profiling of laser capture microdissected tumour cells confirms the WGCNA, identifying modules associated with tumour cell compartments and revealing novel ACP genes.']	(17773, 17966)
429	PMC5904225	128	['a Scheme of the experimental approach.']	(17967, 18005)
430	PMC5904225	129	['Histological sections of tumour samples JA004 and JA029 were subjected to laser capture microdissection (LCM) to isolate Î²-catenin-accumulating cell clusters (C), palisading epithelium (PE) and glial reactive tissue (G).']	(18006, 18227)
431	PMC5904225	130	['Biological duplicates were performed for clusters and palisading epithelium in case JA004.']	(18228, 18318)
432	PMC5904225	131	['RNA was purified from each of these tumour cell compartments, amplified and sequenced.']	(18319, 18405)
433	PMC5904225	132	['b Principal component analysis reveals grouping of the data from laser capture microdissected samples.']	(18406, 18508)
434	PMC5904225	133	['c Gene set enrichment analysis revealing the enrichment of an inflammatory signature in microdissected glial reactive tissue relative to tumour tissue (i.e.']	(18509, 18665)
435	PMC5904225	135	['Enrichment for WNT signalling was stronger in the clusters relative to both PE and glial tissue.']	(18820, 18916)
436	PMC5904225	136	['d Gene set enrichment analysis showing the enrichment of the brown module genes with a signature of tumour cell compartments (i.e.']	(18917, 19047)
437	PMC5904225	137	['genes including in cluster cells plus palisading epithelium).']	(19048, 19109)
438	PMC5904225	140	['NES normalised enrichment score, FDR false discovery rate.']	(19452, 19510)
439	PMC5904225	146	['AXIN2, LEF1 and NOTUM) (Fig.Â\xa02c).']	(20657, 20691)
440	PMC5904225	147	['A full list of the differentially expressed genes between clusters, palisading epithelium and reactive glia is shown in Suppl.']	(20692, 20818)
441	PMC5904225	148	['TableÂ\xa02câ\x80\x93e (Online Resource 4).']	(20819, 20853)
442	PMC5904225	149	['By systematically comparing the molecular signatures obtained from these profiling experiments with the modules previously described, we confirmed that the brown module genes were enriched in the signature of tumour cell compartments (i.e.']	(20856, 21095)
443	PMC5904225	150	['cluster cells and palisading epithelium) (NESâ\x80\x89=â\x80\x892.24, FDRâ\x80\x89<â\x80\x890.001) (Fig.Â\xa02d).']	(21096, 21182)
444	PMC5904225	153	['AXIN2, NOTUM), FGF3 and BMP4 were contained in the brown module [Suppl.']	(21522, 21593)
445	PMC5904225	154	['TableÂ\xa04a (Online Resource 6)].']	(21594, 21625)
446	PMC5904225	156	['TableÂ\xa04a (Online Resource 6)].']	(21782, 21813)
447	PMC5904225	158	['TableÂ\xa03a (Online Resource 6)].']	(21973, 22004)
448	PMC5904225	162	['Fig.Â\xa05 (Online Resource 3)].']	(22612, 22641)
449	PMC5904225	164	['TableÂ\xa02e (Online Resource 4)].']	(22885, 22916)
450	PMC5904225	166	['Fig.Â\xa06 (Online Resource 3)].']	(23225, 23254)
451	PMC5904225	169	['cluster cells and palisading epithelium) and glial reactive tissue (astrocytes and immune cells).']	(23519, 23616)
452	PMC5904225	171	['a Gene set enrichment plots showing that ACP tumours are enriched for genes expressed by ameloblasts and inner enamel epithelium.']	(23841, 23970)
453	PMC5904225	172	['Results obtained from using the RNA dataset from profiling whole ACP tumours.']	(23971, 24048)
454	PMC5904225	173	['b Expression of relevant ameloblast-related genes is significantly expressed at higher levels in whole ACP tumours compared with control tissues (fetal pituitary and NFPA).']	(24049, 24221)
455	PMC5904225	174	['See Suppl.']	(24222, 24232)
456	PMC5904225	175	['TableÂ\xa05 (Online Resource 7) for details (*** adjusted p value <â\x80\x891â\x80\x89Ã\x97â\x80\x8910â\x88\x927, * adjusted p valueâ\x80\x89=â\x80\x890.028).']	(24233, 24349)
457	PMC5904225	176	['c Gene set enrichment plots showing that the cluster cells are enriched for genes expressed in the enamel knot whilst palisading epithelium shows a signature of inner enamel epithelia at cap stage.']	(24350, 24547)
458	PMC5904225	177	['Results obtained from using the RNA dataset from profiling microdissected ACP compartments.']	(24548, 24639)
459	PMC5904225	178	['d Double immunofluorescent staining reveals the co-expression of p21/CDKN1A and EDAR, two enamel knot markers, in the Î²-catenin-accumulating clusters.']	(24640, 24791)
460	PMC5904225	181	['NES normalised enrichment score, FDR false discovery rate.']	(25137, 25195)
461	PMC5904225	183	['The brown module genes, enriched in the signature of tumour cell compartments, contained genes related to odontogenesis [Suppl.']	(25414, 25541)
462	PMC5904225	184	['TableÂ\xa04a, e (Online Resource 6].']	(25542, 25575)
463	PMC5904225	185	['GSEA was performed using sets of genes experimentally confirmed to be expressed in specific cell types during tooth development in human and other species.']	(25576, 25731)
464	PMC5904225	187	['The expression of ameloblast transcription factors (e.g.']	(26112, 26168)
465	PMC5904225	188	['BCL11B, MSX2), enamel genes (ENAM, AMELX, AMELY, AMBN) and proteinases (MMP20, KLK4) was significantly higher in human ACP compared with control tissues [Fig.Â\xa03b; Suppl.']	(26169, 26339)
466	PMC5904225	189	['TableÂ\xa05 (Online Resource 7)].']	(26340, 26370)
467	PMC5904225	191	['MSX1, DSPP) [Fig.Â\xa03b; Suppl.']	(26496, 26525)
468	PMC5904225	192	['TableÂ\xa05 (Online Resource 7)].']	(26526, 26556)
469	PMC5904225	198	['TableÂ\xa02a, d, e (Online Resource 4)].']	(28260, 28297)
470	PMC5904225	202	['TableÂ\xa02f (Online Resource 4)].']	(29070, 29101)
471	PMC5904225	209	['Fig.Â\xa07 (Online Resource 3); Suppl.']	(30436, 30471)
472	PMC5904225	210	['TableÂ\xa02d, e (Online Resource 4)].']	(30472, 30506)
473	PMC5904225	211	['SHH was also highly expressed by the cluster cells (Suppl.']	(30507, 30565)
474	PMC5904225	214	['WNT4, WNT5A, WNT6, WNT7A, WNT10A, WNT10B and WNT16) in the clusters relative to the palisading epithelium or glial reactive tissue [Suppl.']	(30733, 30871)
475	PMC5904225	215	['Fig.Â\xa07b (Online Resource 3); Suppl.']	(30872, 30908)
476	PMC5904225	216	['TableÂ\xa02d, e (Online Resource 4); adjusted p value â\x89¤â\x80\x890.03].']	(30909, 30972)
477	PMC5904225	217	['To reveal the cells responding to FGF, TGFÎ² and BMP factors, we analysed the expression of the ligands and their receptors in our human RNA-Seq datasets and performed immunofluorescence against downstream signalling effectors indicating pathway activation.']	(30973, 31230)
478	PMC5904225	218	['Caption (Fig): FIG 4\n\nIdentification of the activation of the MAPK/ERK, TGFB and BMP signalling pathways in human ACP.']	(31232, 31350)
479	PMC5904225	219	['a Immunohistochemistry revealing the expression of phosphorylated ERK1/2 (pERK1/2), a read out of active MAPK/ERK pathway, at the tips of the invading tumour epithelium (palisading epithelium, arrows in a, aâ\x80´ and aâ\x80³â\x80³) and within reactive glial tissue (G; arrows in aâ\x80³).']	(31351, 31628)
480	PMC5904225	220	['b Double immunofluorescent staining showing pERK1/2 expression in the palisading epithelium (PE) around the Î²-catenin accumulating clusters (C), which express several activating ligands of the MAPK/ERK pathway (see main text for details).']	(31629, 31868)
481	PMC5904225	221	['Note that cells within the reactive glial tissue (G) are also pERK1/2 positive.']	(31869, 31948)
482	PMC5904225	222	['c Double immunofluorescence revealing abundant Ki67+ve cells in the palisading epithelium close to clusters.']	(31949, 32057)
483	PMC5904225	223	['d Double immunofluorescence showing Ki67 and pERK1/2 co-expression within the palisading epithelium (PE).']	(32058, 32163)
484	PMC5904225	224	['e Double immunofluorescence showing pSMAD3 staining, indicating activation of TGFÎ² signalling, in both tumour and reactive glia, with strongest signal in reactive tissue adjacent to tumour epithelia (arrowhead).']	(32164, 32376)
485	PMC5904225	226	['Note the absence of staining in the palisading epithelium (PE).']	(32532, 32595)
486	PMC5904225	227	['Scale bars: aâ\x80\x93aâ\x80³â\x80³ 200Â\xa0Î¼m; bâ\x80\x93f 100Â\xa0Î¼m\n\nFGFR1â\x80\x933 were broadly expressed across tumour and glial cells and not differentially expressed between compartments [Suppl.']	(32596, 32770)
487	PMC5904225	228	['Fig.Â\xa07b (Online Resource 3); Suppl.']	(32771, 32807)
488	PMC5904225	229	['TableÂ\xa02d, e (Online Resource 4)].']	(32808, 32842)
489	PMC5904225	230	['The ligands FGF3, FGF4, FGF9, FGF12, FGF13, FGF18 and FGF19 were highly expressed in the clusters relative to the palisading epithelium or the glial reactive tissue [adjusted p value â\x89¤â\x80\x890.1; Suppl.']	(32843, 33043)
490	PMC5904225	231	['Fig.Â\xa07a, b (Online Resource 3); Suppl.']	(33044, 33083)
491	PMC5904225	232	['TableÂ\xa02d, e (Online Resource 4)].']	(33084, 33118)
492	PMC5904225	233	['Downstream activation of the MAPK/ERK pathway, as evidenced by phosphorylation of ERK1/2, was identified by immunohistochemistry and immunofluorescence within the palisading epithelium around the clusters and neighbouring reactive tissue, but no positive signal was observed in the clusters themselves (Fig.Â\xa04a, b, d).']	(33119, 33438)
493	PMC5904225	234	['Particularly prominent staining was detected at the leading edge of tissue invasion (Fig.Â\xa04a).']	(33439, 33534)
494	PMC5904225	235	['Areas of palisading epithelium around the clusters were often enriched for the proliferation marker Ki67 (Fig.Â\xa04c), concurrent with elevated pERK1/2+ve staining (Fig.Â\xa04b).']	(33535, 33708)
495	PMC5904225	237	['BMP4 and BMP8A were highly expressed by clusters (adjusted p value â\x89¤â\x80\x890.001) and BMPR1A and BMPR2 were expressed across all cell types, whist BMPR1B was highly expressed in the glial reactive tissue (adjusted p valueâ\x80\x89=â\x80\x890.00011) [Suppl.']	(34021, 34263)
496	PMC5904225	238	['Fig.Â\xa07b (Online Resource 3); Suppl.']	(34264, 34300)
497	PMC5904225	239	['TableÂ\xa02d, e (Online Resource 4)].']	(34301, 34335)
498	PMC5904225	240	['Activation of the pathway, as evidenced by immunofluorescence staining against phosphorylated SMAD1/5/9 was widely present in tumour cells, particularly in proximity to the clusters, but was absent from the palisading epithelium (Fig.Â\xa04f).']	(34336, 34576)
499	PMC5904225	242	['Fig.Â\xa07a, b (Online Resource 3); Suppl.']	(34990, 35029)
500	PMC5904225	243	['TableÂ\xa02d, e (Online Resource 4)].']	(35030, 35064)
501	PMC5904225	245	['Increased signal was apparent within areas of reactive tissue closest to tumour cells (Fig.Â\xa04e).']	(35210, 35307)
502	PMC5904225	247	['Double immunofluorescent staining on histological sections of neoplastic pituitaries of the ACP embryonic mouse model at postnatal day 1 (P1).']	(35448, 35590)
503	PMC5904225	248	['Note the widespread expression of pERK1/2 in cells around the Î²-catenin-accumulating cell clusters, which show no expression of this marker.']	(35591, 35732)
504	PMC5904225	249	['pSMAD3 and pSMAD1/5/9 staining is also predominant in cells surrounding the clusters, but occasionally weak staining is observed in some cluster cells (arrowheads).']	(35733, 35897)
505	PMC5904225	255	['Caption (Fig): FIG 6\n\nEx vivo inhibition of the MAPK/ERK pathway in mouse ACP results in decreased proliferation and increased apoptosis of tumour cells.']	(37252, 37405)
506	PMC5904225	256	['Neoplastic pituitaries of the ACP embryonic mouse model were cultured in the presence of the MEK inhibitor trametinib (2 or 20Â\xa0nM) or the vehicle control (DMSO) for 18Â\xa0h. Following histological processing, sections were immunostained against Î²-catenin and pERK1/2 (readout of active MAPK/ERK pathway; a), Ki-67 (proliferation marker; b) and cleaved caspase-3 (apoptosis marker; c).']	(37406, 37790)
507	PMC5904225	258	['Kruskalâ\x80\x93Wallis with Dunnâ\x80\x99s post-test **pâ\x80\x89<â\x80\x890.01; ***pâ\x80\x89<â\x80\x890.001.']	(38007, 38081)
508	PMC5904225	259	['Mean of 4.1â\x80\x89Ã\x97â\x80\x89103 nuclei for each point.']	(38082, 38127)
509	PMC5904225	260	['Scale bars 50Â\xa0Î¼m\n\nThe neoplastic pituitaries of the Hesx1Cre/+/Ctnnb1lox(ex3)/+ mice at postnatal day 1 (P1) contain well-defined Î²-catenin-accumulating clusters.']	(38128, 38293)
510	PMC5904225	266	['Caption (Fig): FIG 7\n\nEx vivo inhibition of the MAPK/ERK pathway in human ACP results in decreased proliferation and increased apoptosis of tumour cells.']	(39787, 39940)
511	PMC5904225	267	['Small pieces of three human ACP tumours were cultured in the presence of the MEK inhibitor trametinib (2 or 20Â\xa0nM) or the vehicle control (DMSO) for 18Â\xa0h. Following histological processing, sections were immunostained against Î²-catenin and pERK1/2 (readout of active MAPK/ERK pathway; a), Ki-67 (proliferation marker; b) and cleaved caspase-3 (apoptosis marker; c).']	(39941, 40309)
512	PMC5904225	269	['Kruskalâ\x80\x93Wallis with Dunnâ\x80\x99s post-test **pâ\x80\x89<â\x80\x890.01; ***pâ\x80\x89<â\x80\x890.001.']	(40526, 40600)
513	PMC5904225	270	['Mean of 1.6â\x80\x89Ã\x97â\x80\x89104 nuclei for each point.']	(40601, 40646)
514	PMC5904225	271	['Scale bars 50Â\xa0Î¼m\n\nNext, we performed similar ex vivo culture experiments using small pieces of human ACP tumours, which were cultured with and without trametinib (nâ\x80\x89=â\x80\x893 ACP tumours; 2 and 20Â\xa0nM trametinib or vehicle control) for 18Â\xa0h. Inhibition of the MAPK/ERK pathway was revealed by a reduction of p-ERK1/2 immunofluorescence in trametinib-treated tumours relative to vehicle-treated controls, which was more accentuated at 20Â\xa0nM (Fig.Â\xa07a).']	(40647, 41100)
515	PMC5904225	277	['a Immunohistochemistry showing infiltration of myeloid (CD68+ve) and lymphoid (CD3+ve) within human ACP tumour (T) and reactive glial tissue (G).']	(42419, 42564)
516	PMC5904225	278	['CD68+ve and IBA1+ve immunostaining is observed in close association with the cholesterol clefts (arrows).']	(42565, 42670)
517	PMC5904225	281	['c Multiplex ELISA quantification of cytokine protein expression within the solid tumour (nâ\x80\x89=â\x80\x898 tumours; left) and cystic fluid (nâ\x80\x89=â\x80\x8910 samples; right).']	(43003, 43162)
518	PMC5904225	282	['IL8, IL18, IL6 and IL1B are the highest expressed cytokines in the solid tumour.']	(43163, 43243)
519	PMC5904225	283	['In the cystic fluid, levels of IL6 and IL8 are the highest, but all the other cytokines are also detected.']	(43244, 43350)
520	PMC5904225	284	['For solid tumour values were normalised against total protein and for cystic fluid samples against volume.']	(43351, 43457)
521	PMC5904225	285	['The blue dots represent the value obtained of each cytokine for each sample and the red dots represent the median.']	(43458, 43572)
522	PMC5904225	287	['TableÂ\xa04a, k (Online Resource 6); Suppl.']	(43815, 43855)
523	PMC5904225	288	['Fig.Â\xa02d (Online Resource 3)].']	(43856, 43886)
524	PMC5904225	291	['In addition, cytokine-encoding genes were highly up-regulated in ACP whole tumours compared with controls [Suppl.']	(44297, 44410)
525	PMC5904225	292	['TableÂ\xa06 (Online Resource 8)].']	(44411, 44441)
526	PMC5904225	294	['TableÂ\xa06 (Online Resource 8)].']	(44696, 44726)
527	PMC5904225	300	['To explore the protein composition in greater detail, comprehensive proteome analysis was completed on cystic fluid from six ACP patients [Suppl.']	(45323, 45468)
528	PMC5904225	301	['Materials and Methods (Online Resource 1)].']	(45469, 45512)
529	PMC5904225	302	['To obtain greater depth in the proteome coverage, samples of fluid were first subjected to a combinatorial peptide bead equalisation [Suppl.']	(45513, 45653)
530	PMC5904225	303	['Fig.Â\xa08a (Online Resource 3)].']	(45654, 45684)
531	PMC5904225	304	['In total, 461 proteins were identified in all samples, using an FDR of 1% and requiring at least two unique peptides for each protein [Suppl.']	(45685, 45826)
532	PMC5904225	305	['TableÂ\xa07 (Online Resource 9)].']	(45827, 45857)
533	PMC5904225	307	['Fig.Â\xa08b (Online Resource 3)], covering an excess of five orders of magnitude.']	(45939, 46017)
534	PMC5904225	308	['The most abundant proteins included albumin and several inflammation-associated proteins such as apolipoproteins, particularly APOA1 and APOA2, complement system proteins and immunoglobulins [Suppl.']	(46018, 46216)
535	PMC5904225	309	['Fig.Â\xa08c (Online Resource 3].']	(46217, 46246)
536	PMC5904225	311	['Fig.Â\xa08d (Online Resource 3)].']	(46377, 46407)
537	PMC5904225	313	['We used multiplex ELISA to demonstrate the presence of IL1B, IL6, IL8, IL10, IL18, TNF and IFNG in the cystic fluid and whole ACP tumour protein lysates (Fig.Â\xa08c).']	(46526, 46690)
538	PMC5904225	315	['a Gene set enrichment plots showing that human ACP tumours are enriched for genes expressed by macrophages, chondrocytes and uterine muscle cells exposed to IL1B in culture conditions.']	(46787, 46971)
539	PMC5904225	316	['b Gene set enrichment plots reveal a molecular signature of atherosclerotic plaques in human ACP.']	(46972, 47069)
540	PMC5904225	317	['Results are based on data obtained from RNA-Seq profiles from whole ACP tumours and control tissues (fetal pituitaries and NFPA).']	(47070, 47199)
541	PMC5904225	320	['TableÂ\xa06 (Online Resource 8)].']	(47690, 47720)
542	PMC5904225	321	['Inflammasomes are innate danger-associated pattern recognition protein complexes that activate and up-regulate IL1 family members, particularly IL1B and IL18.']	(47721, 47879)
543	PMC5904225	322	['This subsequently drives a pro-inflammatory response through secondary expression of pro-inflammatory cytokines including IL6, IL8, TNF and chemokines (e.g.']	(47880, 48036)
544	PMC5904225	323	['CCL2).']	(48037, 48043)
545	PMC5904225	324	['Several genes encoding core inflammasome components were all significantly expressed at higher levels in ACP tumours compared with control tissues, including NLRP1 (6.4-fold), NLRP3 (4.8-fold), NLRC4 (4.8-fold), CASP1 (5-fold) and PYCARD (4-fold) [Suppl.']	(48044, 48298)
546	PMC5904225	325	['TableÂ\xa02a (Online Resource 4)].']	(48299, 48330)
547	PMC5904225	329	['Cholesterol and other crystals (e.g.']	(49194, 49230)
548	PMC5904225	331	['gout).']	(49405, 49411)
549	PMC5904225	335	['Discussion\n\nCaption (Fig): FIG 10\n\nSchematic summary of the findings.']	(49994, 50063)
550	PMC5904225	337	['The enamel knot and the Î²-catenin-accumulating clusters, which both have similar expression profiles and comparable histology, act as signalling hubs through the secretion of a several growth factors acting in an autocrine and/or paracrine manner on the surrounding cells, i.e.']	(50153, 50431)
551	PMC5904225	338	['the enamel epithelium/dental mesenchyme in the forming tooth or the palisading epithelium, stellate reticulum and glial reactive tissue in ACP.']	(50432, 50575)
552	PMC5904225	339	['Reciprocal signalling from surrounding tissues to the enamel knot and clusters is indicated by double-headed arrows.']	(50576, 50692)
553	PMC5904225	342	['A schematic summary of the findings of this research is shown in Fig.Â\xa010.']	(51478, 51552)
554	PMC5904225	350	['We characterise the FGF, MAPK/ERK, TGFÎ², BMP and EDAR signalling pathways in ACP.']	(52812, 52894)
555	PMC5904225	360	['Prevention of inflammasome activation by the use of IL1R inhibitors (e.g.']	(54581, 54654)
556	PMC5904225	363	['The ability to measure downstream cytokines e.g.']	(55031, 55079)
557	PMC5904225	366	['Electronic supplementary material\n\nBelow is the link to the electronic supplementary material.']	(55527, 55621)
558	PMC5904225	367	['Electronic supplementary material\n\nThe online version of this article (10.1007/s00401-018-1830-2) contains supplementary material, which is available to authorized users.']	(55632, 55802)
559	PMC5904225	368	['Funding\n\nJ.R.A.']	(55804, 55819)
560	PMC5904225	369	['is a Cancer Research UK Clinical Research Training Fellow.']	(55820, 55878)
561	PMC5904225	370	['Funding for this research was provided by Cancer Research UK, the Childrenâ\x80\x99s Cancer and Leukaemia Group, Children with Cancer UK (15/190), MRC (MR/M125/1), the Brain Tumour Charity (SIGNAL and EVEREST), Great Ormond Street Hospital Childrenâ\x80\x99s Charity and the National Institute of Health Research Biomedical Research Centre at Great Ormond Street Hospital for Children NHS Foundation Trust and University College London.']	(55879, 56303)
562	PMC5904225	371	['S.H.']	(56304, 56308)
563	PMC5904225	372	['is supported by a Wellcome Trust PhD Fellowship.']	(56309, 56357)
564	PMC5904225	373	['J.R.A.']	(56358, 56364)
565	PMC5904225	374	['is supported by a Cancer Research UK Clinical Research Training Fellowship.']	(56365, 56440)
566	PMC5904225	375	['J.P.M.-B.']	(56441, 56450)
567	PMC5904225	376	['is a Great Ormond Street Hospital for Childrenâ\x80\x99s Charity Principal Investigator.']	(56451, 56533)
568	PMC5904225	377	['Compliance with ethical standards\n\nConflict of interest\n\nP.B.']	(56535, 56596)
569	PMC5904225	378	['has received institutional grants from SOBI, Roche and Novartis; consultancy fees from Roche; and lecturing fees from SOBI and Novartis.']	(56597, 56733)
570	PMC5904225	379	['The other authors declare that they have no conflict of interest.']	(56734, 56799)
571	PMC4438576	0	['Identification of targets for rational pharmacological therapy in childhood craniopharyngioma\n\nAbstract\n\nIntroduction\n\nPediatric adamantinomatous craniopharyngioma (ACP) is a histologically benign but clinically aggressive brain tumor that arises from the sellar/suprasellar region.']	(0, 282)
572	PMC4438576	5	['We confirm by western blot that a subset of these targets is highly expressed in ACP primary tumor samples.']	(1227, 1334)
573	PMC4438576	7	['Experimental drugs targeting each of these gene products are currently being tested clinically and pre-clinically for the treatment of other tumor types.']	(1462, 1615)
574	PMC4438576	15	['Outcomes after recurrence are poorer, with significantly higher mortality and morbidity than after primary treatment.']	(2963, 3080)
575	PMC4438576	37	['Materials and methods\n\nTumor samples\n\nCaption (TABLE-WRAP): TABLE 1\n\nÎ²-catenin and BRAF mutational status of tumor and age of 15 ACP patient cohort used in transcriptome study\n\nUPN\tÎ²-Catenin\tBRAF\tAge at Dx\t \t411\tS33F\tWT\t2\t \t463\tS37F\tWT\t4\t \t598\tS37C\tWT\t18\t \t646\tD32N\tWT\t7\t \t673\tS37F\tWT\t2\t \t740\tS33F\tWT\t12\t \t802\tWT\tWT\t7\t \t883\tWT\tWT\t6\t \t956\tS37C\tWT\t9\t \t980\tD32N\tWT\t13\t \t1000\tS45F\tWT\t0\t \t9109\tWT\tWT\t9\t \t9201\tT41I\tWT\t-\t \t9202\tT41I\tWT\t-\t \t9302\tWT\tWT\t-\t \t\n\nA total of 15 ACP tumor samples were included in this study.']	(6692, 7204)
576	PMC4438576	38	['Eleven specimens were from patients who underwent surgical procedures at Childrenâ\x80\x99s Hospital Colorado, from 1995 through 2014.']	(7205, 7333)
577	PMC4438576	39	['Tumor samples were collected at the time of surgery and snap frozen in liquid nitrogen or fixed in formalin and paraffin embedded.']	(7334, 7464)
578	PMC4438576	40	['Additional specimens were contributed by the University of Alabama, Columbia University and Phoenix Childrenâ\x80\x99s Hospital.']	(7465, 7587)
579	PMC4438576	41	['The median age of this cohort was 7Â\xa0years (range 0 to 18Â\xa0years) (TableÂ\xa01).']	(7588, 7665)
580	PMC4438576	42	['Purity of ACP tumor samples was determined by histological analysis using hematoxylin and eosin staining in addition to immunostaining for Î²-catenin.']	(7666, 7816)
581	PMC4438576	43	['A further 176 samples of other primary tumors and a variety of normal cerebral tissues were used for comparative purposes.']	(7817, 7939)
582	PMC4438576	44	['This cohort included samples from the spectrum of pediatric and adult brain tumor types (20 atypical teratoid/rhabdoid tumor (AT/RT), 5 choroid plexus papilloma (CPP), 46 ependymoma (EPN), 12 glioblastoma (GBM), 22 medulloblastoma (MED), 9 meningioma (MEN), 15 pilocytic astrocytoma (PA), 13 primitive neuroepithelial tumor (PNET)) and other peripheral pediatric solid tumors (6 malignant peripheral nerve sheath tumors (MPNST), 8 rhabdomyosarcoma (RMS)).']	(7940, 8395)
583	PMC4438576	45	['Specimens were classified according to WHO international histological tumor classification.']	(8396, 8487)
584	PMC4438576	46	['Normal pediatric brain samples from a variety of anatomic sites were obtained during routine epilepsy surgery or autopsy at Childrenâ\x80\x99s Hospital Colorado.']	(8488, 8643)
